# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 279K of event 'task-clock'
# Event count (approx.): 1403351583375
#
# Overhead  Command        Shared Object                                     Symbol                                                                                                                                                                                                                                                                                           
# ........  .............  ................................................  .................................................................................................................................................................................................................................................................................................
#
     0.00%  python         [kernel.kallsyms]                                 [k] __secure_computing
     0.00%  python         [kernel.kallsyms]                                 [k] __virt_addr_valid
     0.00%  python         [kernel.kallsyms]                                 [k] _copy_to_iter
     0.00%  python         [kernel.kallsyms]                                 [k] clear_page_erms
     0.00%  python         [kernel.kallsyms]                                 [k] do_wp_page
     0.00%  python         [kernel.kallsyms]                                 [k] kmem_cache_free
     0.00%  python         [kernel.kallsyms]                                 [k] mem_cgroup_commit_charge
     0.00%  python         [kernel.kallsyms]                                 [k] override_creds
     0.00%  python         [kernel.kallsyms]                                 [k] revert_creds
     0.00%  python         [kernel.kallsyms]                                 [k] strncpy_from_user
     0.00%  python         [kernel.kallsyms]                                 [k] syscall_exit_to_user_mode_prepare
     0.00%  python         libc.so.6                                         [.] __memmove_avx512_unaligned_erms
     0.00%  python         libc.so.6                                         [.] __memset_avx512_unaligned
     0.00%  python         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003506b6
     0.00%  python         python3.9                                         [.] 0x00000000000d2f39
     0.00%  python         python3.9                                         [.] 0x00000000000d30a7
     0.00%  python         python3.9                                         [.] 0x00000000000d48d4
     0.00%  python         python3.9                                         [.] 0x00000000000d4f21
     0.00%  python         python3.9                                         [.] 0x00000000000d5d90
     0.00%  python         python3.9                                         [.] 0x00000000000d5e04
     0.00%  python         python3.9                                         [.] 0x00000000000d5e0f
     0.00%  python         python3.9                                         [.] 0x00000000000d5e6e
     0.00%  python         python3.9                                         [.] 0x00000000000d66ee
     0.00%  python         python3.9                                         [.] 0x00000000000dc687
     0.00%  python         python3.9                                         [.] 0x00000000000dcce5
     0.00%  python         python3.9                                         [.] 0x00000000000dce8b
     0.00%  python         python3.9                                         [.] 0x00000000000dd2d3
     0.00%  python         python3.9                                         [.] 0x00000000000ddbdb
     0.00%  python         python3.9                                         [.] 0x00000000000dded8
     0.00%  python         python3.9                                         [.] 0x00000000000ddefc
     0.00%  python         python3.9                                         [.] 0x00000000000de01a
     0.00%  python         python3.9                                         [.] 0x00000000000de0c2
     0.00%  python         python3.9                                         [.] 0x00000000000de200
     0.00%  python         python3.9                                         [.] 0x00000000000e7b27
     0.00%  python         python3.9                                         [.] 0x00000000000e7b5b
     0.00%  python         python3.9                                         [.] 0x00000000000e7bcc
     0.00%  python         python3.9                                         [.] 0x00000000000e7c7b
     0.00%  python         python3.9                                         [.] 0x00000000000e8140
     0.00%  python         python3.9                                         [.] 0x00000000000e82f4
     0.00%  python         python3.9                                         [.] 0x00000000000e85cd
     0.00%  python         python3.9                                         [.] 0x00000000000e8ef9
     0.00%  python         python3.9                                         [.] 0x00000000000f0270
     0.00%  python         python3.9                                         [.] 0x00000000000f0308
     0.00%  python         python3.9                                         [.] 0x00000000000f357e
     0.00%  python         python3.9                                         [.] 0x00000000000f3a7c
     0.00%  python         python3.9                                         [.] 0x00000000000f3a85
     0.00%  python         python3.9                                         [.] 0x00000000000f5194
     0.00%  python         python3.9                                         [.] 0x00000000000f66e2
     0.00%  python         python3.9                                         [.] 0x00000000000f88f2
     0.00%  python         python3.9                                         [.] 0x00000000000f91a2
     0.00%  python         python3.9                                         [.] 0x00000000000f923e
     0.00%  python         python3.9                                         [.] 0x00000000000f9264
     0.00%  python         python3.9                                         [.] 0x00000000000fb402
     0.00%  python         python3.9                                         [.] 0x000000000010bf3b
     0.00%  python         python3.9                                         [.] 0x00000000001143bb
     0.00%  python         python3.9                                         [.] 0x0000000000115d90
     0.00%  python         python3.9                                         [.] 0x00000000001619c1
     0.00%  runc:[2:INIT]  libseccomp.so.2.5.3                               [.] 0x0000000000008bf1
     0.00%  test_program   libgomp.so.1.0.0                                  [.] 0x000000000002060d
     0.00%  as             [kernel.kallsyms]                                 [k] zap_pte_range
     0.00%  as             ld-linux-x86-64.so.2                              [.] _dl_relocate_object
     0.00%  as             libbfd-2.38-system.so                             [.] 0x000000000011b1cb
     0.00%  as             libc.so.6                                         [.] __strcmp_evex
     0.00%  as             x86_64-linux-gnu-as                               [.] 0x0000000000027fa0
     0.00%  bash           [kernel.kallsyms]                                 [k] _raw_spin_unlock_irqrestore
     0.00%  bash           [kernel.kallsyms]                                 [k] do_syscall_64
     0.00%  bash           [kernel.kallsyms]                                 [k] do_user_addr_fault
     0.00%  bash           [kernel.kallsyms]                                 [k] refill_obj_stock
     0.00%  bash           bash                                              [.] 0x000000000010706d
     0.00%  cc1            [kernel.kallsyms]                                 [k] __rmqueue_pcplist
     0.00%  cc1            [kernel.kallsyms]                                 [k] _raw_spin_lock
     0.00%  cc1            [kernel.kallsyms]                                 [k] clear_page_erms
     0.00%  cc1            [kernel.kallsyms]                                 [k] override_creds
     0.00%  cc1            [kernel.kallsyms]                                 [k] xas_descend
     0.00%  cc1            cc1                                               [.] _cpp_lex_token
     0.00%  cc1            cc1                                               [.] attribute_list_equal(tree_node const*, tree_node const*)
     0.00%  cc1            cc1                                               [.] c_parser_declarator(c_parser*, bool, c_dtr_syn, bool*)
     0.00%  cc1            cc1                                               [.] c_parser_string_literal(c_parser*, bool, bool)
     0.00%  cc1            cc1                                               [.] choose_hard_reg_mode(unsigned int, unsigned int, predefined_function_abi const*)
     0.00%  cc1            cc1                                               [.] gcc::pass_manager::register_pass_name(opt_pass*, char const*)
     0.00%  cc1            cc1                                               [.] init_alias_analysis()
